# AMBE-3000 halfrate_bit_allocations.csv — per-rate bit allocation (b̂_k) for AMBE+2 half-rate skeleton
# Rows 0-61: chip rate indices per DVSI AMBE-3000F manual v4.0, Appendix 7.2 (Table 119).
# Rows 62, 63: project extensions for P25 full-rate IMBE (not in chip rate-index table; invoked via RCW).
# Chip indices 33/34 are normatively populated from BABA-A §12. Chip indices 35-61 are pending empirical resolution.
# NAMING NOTE: project-wide "p25_fullrate" and "p25_halfrate" labels are P25-scoped aliases (full-rate IMBE / half-rate AMBE+2) and DO NOT equal chip rate indices 33/34. See analysis/ambe3000_rate_bit_allocation_gap.md.
# See halfrate_bit_allocations_sources.md for per-field sourcing.
rate_index,b0_pitch,b1_vuv,b2_gain,b3_prba24,b4_prba58,b5_hoc1,b6_hoc2,b7_hoc3,b8_hoc4,total_info_bits,fec_scheme,interleaver,notes
0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,none,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=48 bits/frame, fec_overhead=0 bits."
1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,none,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=72 bits/frame, fec_overhead=0 bits."
2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=24 bits."
3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96,none,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=0 bits."
4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,192,none,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=192 bits/frame, fec_overhead=0 bits."
5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=48 bits/frame, fec_overhead=1 bits."
6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,97,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=192 bits/frame, fec_overhead=95 bits."
7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,91,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=5 bits."
8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=34 bits."
9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=144 bits/frame, fec_overhead=56 bits."
10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=128 bits/frame, fec_overhead=45 bits."
11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=72 bits/frame, fec_overhead=5 bits."
12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,155,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=160 bits/frame, fec_overhead=5 bits."
13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=160 bits/frame, fec_overhead=67 bits."
14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75,proprietary_ambe1000,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=80 bits/frame, fec_overhead=5 bits."
15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,none,n/a,"AMBE-1000 generation; not AMBE+2 half-rate skeleton. total=80 bits/frame, fec_overhead=0 bits."
16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=72 bits/frame, fec_overhead=0 bits."
17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=80 bits/frame, fec_overhead=0 bits."
