# AMBE-3000 multi_subframe_rates.csv — subframe count per chip rate index
# Columns: rate_index, subframes_per_frame (1 | 2 | pending), source, notes
# Rows 0-61: chip rate indices per DVSI AMBE-3000F manual v4.0, Appendix 7.2.
# Rows 62, 63: project extensions for P25 full-rate IMBE (see halfrate_bit_allocations.csv).
# Single-subframe is confirmed only for P25 rates (chip 33/34, project 62/63). Others pending.
# See multi_subframe_rates_sources.md and analysis/ambe3000_multi_subframe_rate_mapping.md.
rate_index,subframes_per_frame,source,notes
0,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
1,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
2,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
3,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
4,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
5,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
6,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
7,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
8,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
9,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
10,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
11,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
12,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
13,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
14,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
15,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
16,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
17,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
18,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
