total_bps,speech_bps,fec_bps,rcw0,rcw1,rcw2,rcw3,rcw4,rcw5,pin121_e5,pin122_a4,pin123_b4,pin124_c4,pin125_d4,pin126_a3,notes
2000,2000,0,0x0128,0x0663,0x0000,0x0000,0x0000,0x6428,0,1,1,1,1,1,
2250,2250,0,0x042D,0x0754,0x0000,0x0000,0x0000,0x722D,1,0,0,1,0,0,
2400,2400,0,0x0030,0x0763,0x0000,0x0000,0x0000,0x4330,0,0,0,0,0,0,
2400,2350,50,0x002F,0x0763,0x0000,0x0000,0x0000,0x6930,0,0,0,1,0,1,
2400,2400,0,0x0430,0x0754,0x0000,0x0000,0x0000,0x6930,1,0,0,1,0,1,
2450,2450,0,0x0431,0x0754,0x0000,0x0000,0x0000,0x7031,1,0,0,0,1,0,
2700,2450,250,0x0431,0x0754,0x0080,0x0000,0x0000,0x3936,1,0,1,1,1,1,
3000,3000,0,0x043C,0x0766,0x0000,0x0000,0x0000,0x673C,1,0,0,1,1,0,
3400,2250,1150,0x042D,0x0754,0x2400,0x0000,0x0000,0x7944,1,0,0,0,1,1,
3600,3600,0,0x0048,0x0767,0x0000,0x0000,0x0000,0x6F48,0,0,0,0,0,1,
3600,3350,250,0x0043,0x0765,0x0080,0x0000,0x0000,0x5348,0,0,1,0,1,1,
3600,2400,1200,0x0130,0x0763,0x0001,0x0000,0x4230,0x0048,-,-,-,-,-,-,FEC is convolutional code
3600,2400,1200,0x0130,0x0763,0x4000,0x0000,0x0000,0x0048,-,-,-,-,-,-,Interoperable with D-STAR
3600,2400,1200,0x0030,0x0664,0x4000,0x0000,0x0000,0x0048,-,-,-,-,-,-,FEC is block code
3600,3600,0,0x0248,0x0763,0x0000,0x0000,0x0000,0x3948,0,1,0,0,0,0,
3600,2450,1150,0x0431,0x0754,0x2400,0x0000,0x0000,0x6F48,1,0,0,0,1,1,Interoperable with APCO P25 Half Rate and DMR/dPMR (Europe)
3600,3600,0,0x0448,0x0766,0x0000,0x0000,0x0000,0x6848,1,0,0,1,1,1,
3600,3350,250,0x0443,0x0766,0x0080,0x0000,0x0000,0x3948,1,1,0,0,0,0,
4000,4000,0,0x0050,0x0887,0x0000,0x0000,0x0000,0x3950,0,0,1,1,1,1,
4000,3750,250,0x004B,0x0767,0x0080,0x0000,0x0000,0x3950,0,0,1,1,1,0,
4000,4000,0,0x0250,0x0765,0x0000,0x0000,0x0000,0x4150,0,1,0,0,0,1,
4000,2400,1600,0x0130,0x0763,0x0001,0x0000,0x341A,0x6750,0,1,0,1,1,0,
4000,4000,0,0x0450,0x0986,0x0000,0x0000,0x0000,0x7450,1,0,1,0,0,0,
4000,3750,250,0x044B,0x0766,0x0080,0x0000,0x0000,0x4150,1,1,0,1,0,0,
4000,2600,1400,0x0434,0x0754,0x2480,0x0000,0x0000,0x6850,1,1,0,1,1,1,
4400,4400,0,0x0458,0x0986,0x0000,0x0000,0x0000,0x4458,1,0,1,0,0,1,
4400,2450,1950,0x0431,0x0754,0x0001,0x0000,0x4221,0x6C58,1,1,0,0,1,1,
4800,4800,0,0x0060,0x0887,0x0000,0x0000,0x0000,0x7960,0,0,0,0,1,1,
4800,4550,250,0x005B,0x0887,0x0080,0x0000,0x0000,0x6860,0,0,0,1,1,1,
4800,3600,1200,0x0048,0x0767,0x2030,0x0000,0x0000,0x7060,0,0,0,1,1,0,
4800,3100,1700,0x003E,0x0765,0x2800,0x0000,0x0000,0x7460,0,0,1,0,0,0,
4800,4800,0,0x0260,0x0767,0x0000,0x0000,0x0000,0x6C60,0,1,0,0,1,0,
4800,4000,800,0x0250,0x0765,0x2010,0x0000,0x0000,0x7460,0,1,1,0,0,0,
4800,3600,1200,0x0248,0x0763,0x0001,0x0000,0x2412,0x6860,0,1,0,1,1,1,
4800,2400,2400,0x0130,0x0763,0x0005,0x180C,0x3018,0x7360,0,1,1,0,0,1,
4800,4800,0,0x0460,0x0986,0x0000,0x0000,0x0000,0x5660,1,0,1,0,1,0,
4800,4550,250,0x045B,0x0986,0x0080,0x0000,0x0000,0x6C60,1,1,0,0,1,0,
4800,2450,2350,0x0431,0x0754,0x0002,0x0000,0x0000,0x471E,1,1,0,1,0,0,
4800,3600,1200,0x0448,0x0766,0x4000,0x0000,0x0000,0x5260,1,0,1,0,1,0,
4800,4000,800,0x0450,0x0986,0x2010,0x0000,0x0000,0x7360,1,1,1,0,0,1,
6000,2450,3550,0x0431,0x0754,0x0002,0x0000,0x6625,0x6978,1,1,0,1,0,1,
6400,4150,2250,0x0053,0x0887,0x2C00,0x0000,0x0000,0x5680,0,0,1,0,1,0,
6400,6400,0,0x0280,0x0887,0x0000,0x0000,0x0000,0x6C80,0,1,0,0,1,1,
6400,4000,2400,0x0250,0x0765,0x0001,0x0000,0x542A,0x5280,0,1,1,0,1,0,
