rate_index,total_bps,speech_bps,fec_bps,generation,notes
0,2400,2400,0,AMBE-1000,
1,3600,3600,0,AMBE-1000,
2,4800,3600,1200,AMBE-1000,
3,4800,4800,0,AMBE-1000,
4,9600,9600,0,AMBE-1000,
5,2400,2350,50,AMBE-1000,
6,9600,4850,4750,AMBE-1000,
7,4800,4550,250,AMBE-1000,
8,4800,3100,1700,AMBE-1000,
9,7200,4400,2800,AMBE-1000,
10,6400,4150,2250,AMBE-1000,
11,3600,3350,250,AMBE-1000,
12,8000,7750,250,AMBE-1000,
13,8000,4650,3350,AMBE-1000,
14,4000,3750,250,AMBE-1000,
15,4000,4000,0,AMBE-1000,
16,3600,3600,0,AMBE-2000,
17,4000,4000,0,AMBE-2000,
18,4800,4800,0,AMBE-2000,
19,6400,6400,0,AMBE-2000,
20,8000,8000,0,AMBE-2000,
21,9600,9600,0,AMBE-2000,
22,4000,2400,1600,AMBE-2000,
23,4800,3600,1200,AMBE-2000,
24,4800,4000,800,AMBE-2000,
25,4800,2400,2400,AMBE-2000,
26,6400,4000,2400,AMBE-2000,
27,7200,4400,2800,AMBE-2000,
28,8000,4000,4000,AMBE-2000,
29,9600,2400,7200,AMBE-2000,
30,9600,3600,6000,AMBE-2000,
31,2000,2000,0,AMBE-2000,
32,6400,3600,2800,AMBE-2000-compat,Compatible with AMBE-2000 but not in its standard rate table
33,3600,2450,1150,AMBE+2,Interoperable with APCO P25 Half Rate and DMR (Europe)
34,2450,2450,0,AMBE+2,P25 half-rate without FEC
35,3400,2250,1150,AMBE+2,
36,2250,2250,0,AMBE+2,
37,2400,2400,0,AMBE+2,
38,3000,3000,0,AMBE+2,
39,3600,3600,0,AMBE+2,
40,4000,4000,0,AMBE+2,
41,4400,4400,0,AMBE+2,
42,4800,4800,0,AMBE+2,
43,6400,6400,0,AMBE+2,
44,7200,7200,0,AMBE+2,
45,8000,8000,0,AMBE+2,
46,9600,9600,0,AMBE+2,
47,2700,2450,250,AMBE+2,
48,3600,3350,250,AMBE+2,
49,4000,3750,250,AMBE+2,
50,4800,4550,250,AMBE+2,
51,4400,2450,1950,AMBE+2,
52,4800,2450,2350,AMBE+2,
53,6000,2450,3550,AMBE+2,
54,7200,2450,4750,AMBE+2,
55,4000,2600,1400,AMBE+2,
56,4800,3600,1200,AMBE+2,
57,4800,4000,800,AMBE+2,
58,6400,4000,2400,AMBE+2,
59,7200,4400,2800,AMBE+2,
60,8000,4000,4000,AMBE+2,
61,9600,3600,6000,AMBE+2,
