# TIA-102.AABF-D Table 2: LCO - Link Control Opcode
# Source: TIA-102.AABF-D (April 2015), Table 2, page 32
# Extraction: programmatic from pdftotext -layout output, 2026-04-14
# Invariant verified: all 64 LCO values 0x00-0x3F present exactly once (coverage check PASS)
# Note: LCO 0x12 was Unit Authentication Command in older revisions; Reserved in AABF-D
# Note: LCO 0x25 was Protection Parameter Broadcast in older revisions; Reserved in AABF-D
lco_hex,lco_decimal,lco_binary,defined,alias,full_name,mnemonic,sf_flag,notes
0x00,0,%00,000,1,LC_GRP_V_CH_USR,Group Voice Channel User,LCGVR,0,SF=0
0x01,1,%00,001,0,RESERVED,Reserved,,1,
0x02,2,%00,010,1,LC_GRP_V_CH_UPDT,Group Voice Channel Update,LCGVU,1,SF=1
0x03,3,%00,011,1,LC_UU_V_CH_USR,Unit to Unit Voice Channel User,LCUVR,1,SF=0
0x04,4,%00,100,1,LC_GRP_CH_UPDT_EXP,Group Voice Channel Update - Explicit,LCGVUX,1,SF=1
0x05,5,%00,101,1,LC_UU_ANS_REQ,Unit to Unit Answer Request,LCUAQ,1,SF=1
0x06,6,%00,110,1,LC_TELE_INT_V_CH_USR,Telephone Interconnect Voice Channel User,LCTVR,1,SF=1
0x07,7,%00,111,1,LC_TELE_INT_ANS_REQ,Telephone Interconnect Answer Request,LCTAQ,1,SF=1
0x08,8,%01,000,0,RESERVED,Reserved,,1,
0x09,9,%01,001,1,LC_SOURCE_ID_EXT,Source ID Extension,,1,SF=1
0x0A,10,%01,010,1,LC_UU_V_CH_USR_EXT,Unit-to-Unit Voice Channel User - Extended,,1,SF=1
0x0B,11,%01,011,0,RESERVED,Reserved,,1,
0x0C,12,%01,100,0,RESERVED,Reserved,,1,
0x0D,13,%01,101,0,RESERVED,Reserved,,1,
0x0E,14,%01,110,0,RESERVED,Reserved,,1,
0x0F,15,%01,111,1,LC_CALL_TRM_CAN,Call Termination/Cancellation,LCCT,1,SF=1
0x10,16,%10,000,1,LC_GRP_AFF_Q,Group Affiliation Query,LCGAQ,1,SF=1
0x11,17,%10,001,1,LC_U_REG_CMD,Unit Registration Command,LCRC,1,SF=1
0x12,18,%10,010,0,RESERVED,Reserved (was Unit Auth Cmd - OBSOLETE),,1,LCO=18 in older docs
0x13,19,%10,011,1,LC_STS_Q,Status Query,LCSQ,1,SF=1
0x14,20,%10,100,1,LC_STS_UPDT,Status Update,LCSU,1,SF=1
0x15,21,%10,101,1,LC_MSG_UPDT,Message Update,LCMU,1,SF=1
0x16,22,%10,110,1,LC_CALL_ALRT,Call Alert,LCCA,1,SF=1
0x17,23,%10,111,1,LC_EXT_FNCT_CMD,Extended Function Command,LCEFC,1,SF=1
