# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
0,Frame,0,1
1,Sync,0,1
2,Sync,0,1
3,Sync,0,1
4,Sync,0,1
5,Sync,1,1
6,Sync,0,1
7,Sync,0,1
8,Sync,1,1
9,Sync,1,1
10,Sync,0,1
11,Sync,0,1
12,Sync,1,1
13,Sync,1,1
14,Sync,1,1
15,Sync,1,1
16,Sync,0,1
17,Sync,1,1
18,Sync,0,1
19,Sync,1,1
20,Sync,1,1
21,Sync,1,1
22,Sync,1,1
23,Sync,1,1
24,Network,NAC(11),NAC(10)
25,ID,NAC(9),NAC(8)
26,ID,NAC(7),NAC(6)
27,ID,NAC(5),NAC(4)
28,ID,NAC(3),NAC(2)
29,ID,NAC(1),NAC(0)
30,ID,DUID(3),DUID(2)
31,ID,DUID(1),DUID(0)
32,ID,BCH_parity(47),BCH_parity(46)
33,ID,BCH_parity(45),BCH_parity(44)
34,ID,BCH_parity(43),BCH_parity(42)
35,Status 1,SS(1),SS(0)
36,Status 1,BCH_parity(41),BCH_parity(40)
37,Status 1,BCH_parity(39),BCH_parity(38)
38,Status 1,BCH_parity(37),BCH_parity(36)
39,Status 1,BCH_parity(35),BCH_parity(34)
40,Status 1,BCH_parity(33),BCH_parity(32)
41,Status 1,BCH_parity(31),BCH_parity(30)
42,Status 1,BCH_parity(29),BCH_parity(28)
43,Status 1,BCH_parity(27),BCH_parity(26)
44,Status 1,BCH_parity(25),BCH_parity(24)
45,Status 1,BCH_parity(23),BCH_parity(22)
46,Status 1,BCH_parity(21),BCH_parity(20)
47,Status 1,BCH_parity(19),BCH_parity(18)
48,Status 1,BCH_parity(17),BCH_parity(16)
49,Status 1,BCH_parity(15),BCH_parity(14)
50,Status 1,BCH_parity(13),BCH_parity(12)
51,Status 1,BCH_parity(11),BCH_parity(10)
52,Status 1,BCH_parity(9),BCH_parity(8)
53,Status 1,BCH_parity(7),BCH_parity(6)
54,Status 1,BCH_parity(5),BCH_parity(4)
55,Status 1,BCH_parity(3),BCH_parity(2)
56,Status 1,BCH_parity(1),BCH_parity(0)
57,Header,MI(71),MI(70)
58,Code,MI(69),MI(68)
59,Word,MI(67),MI(66)
60,Word,Short_Golay_parity(11),Short_Golay_parity(10)
61,Word,Short_Golay_parity(9),Short_Golay_parity(8)
62,Word,Short_Golay_parity(7),Short_Golay_parity(6)
63,Word,Short_Golay_parity(5),Short_Golay_parity(4)
64,Word,Short_Golay_parity(3),Short_Golay_parity(2)
65,Word,Short_Golay_parity(1),Short_Golay_parity(0)
66,Word,MI(65),MI(64)
67,Word,MI(63),MI(62)
68,Word,MI(61),MI(60)
69,Word,Short_Golay_parity(11),Short_Golay_parity(10)
70,Word,Short_Golay_parity(9),Short_Golay_parity(8)
71,Status 2,SS(1),SS(0)
72,Status 2,Short_Golay_parity(7),Short_Golay_parity(6)
73,Status 2,Short_Golay_parity(5),Short_Golay_parity(4)
74,Status 2,Short_Golay_parity(3),Short_Golay_parity(2)
75,Status 2,Short_Golay_parity(1),Short_Golay_parity(0)
76,Status 2,MI(59),MI(58)
77,Status 2,MI(57),MI(56)
78,Status 2,MI(55),MI(54)
79,Status 2,Short_Golay_parity(11),Short_Golay_parity(10)
80,Status 2,Short_Golay_parity(9),Short_Golay_parity(8)
81,Status 2,Short_Golay_parity(7),Short_Golay_parity(6)
82,Status 2,Short_Golay_parity(5),Short_Golay_parity(4)
83,Status 2,Short_Golay_parity(3),Short_Golay_parity(2)
84,Status 2,Short_Golay_parity(1),Short_Golay_parity(0)
85,Status 2,MI(53),MI(52)
86,Status 2,MI(51),MI(50)
87,Status 2,MI(49),MI(48)
88,Status 2,Short_Golay_parity(11),Short_Golay_parity(10)
89,Status 2,Short_Golay_parity(9),Short_Golay_parity(8)
90,Status 2,Short_Golay_parity(7),Short_Golay_parity(6)
91,Status 2,Short_Golay_parity(5),Short_Golay_parity(4)
92,Status 2,Short_Golay_parity(3),Short_Golay_parity(2)
93,Status 2,Short_Golay_parity(1),Short_Golay_parity(0)
94,Status 2,MI(47),MI(46)
95,Status 2,MI(45),MI(44)
96,Status 2,MI(43),MI(42)
97,Status 2,Short_Golay_parity(11),Short_Golay_parity(10)
98,Status 2,Short_Golay_parity(9),Short_Golay_parity(8)
99,Status 2,Short_Golay_parity(7),Short_Golay_parity(6)
100,Status 2,Short_Golay_parity(5),Short_Golay_parity(4)
101,Status 2,Short_Golay_parity(3),Short_Golay_parity(2)
102,Status 2,Short_Golay_parity(1),Short_Golay_parity(0)
103,Status 2,MI(41),MI(40)
104,Status 2,MI(39),MI(38)
105,Status 2,MI(37),MI(36)
106,Status 2,Short_Golay_parity(11),Short_Golay_parity(10)
107,Status 3,SS(1),SS(0)
108,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
109,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
110,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
111,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
112,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
113,Status 3,MI(35),MI(34)
114,Status 3,MI(33),MI(32)
115,Status 3,MI(31),MI(30)
116,Status 3,Short_Golay_parity(11),Short_Golay_parity(10)
117,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
118,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
119,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
120,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
121,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
122,Status 3,MI(29),MI(28)
123,Status 3,MI(27),MI(26)
124,Status 3,MI(25),MI(24)
125,Status 3,Short_Golay_parity(11),Short_Golay_parity(10)
126,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
127,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
128,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
129,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
130,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
131,Status 3,MI(23),MI(22)
132,Status 3,MI(21),MI(20)
133,Status 3,MI(19),MI(18)
134,Status 3,Short_Golay_parity(11),Short_Golay_parity(10)
135,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
136,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
137,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
138,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
139,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
140,Status 3,MI(17),MI(16)
141,Status 3,MI(15),MI(14)
142,Status 3,MI(13),MI(12)
143,Status 4,SS(1),SS(0)
144,Status 4,Short_Golay_parity(11),Short_Golay_parity(10)
