# TIA-102.BAAA-B annex_a3_ldu1_transmit_bit_order.csv -- LDU1 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 58-70
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..863 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
0,Frame,0,1
1,Sync,0,1
2,Sync,0,1
3,Sync,0,1
4,Sync,0,1
5,Sync,1,1
6,Sync,0,1
7,Sync,0,1
8,Sync,1,1
9,Sync,1,1
10,Sync,0,1
11,Sync,0,1
12,Sync,1,1
13,Sync,1,1
14,Sync,1,1
15,Sync,1,1
16,Sync,0,1
17,Sync,1,1
18,Sync,0,1
19,Sync,1,1
20,Sync,1,1
21,Sync,1,1
22,Sync,1,1
23,Sync,1,1
24,Network,NAC(11),NAC(10)
25,ID,NAC(9),NAC(8)
26,ID,NAC(7),NAC(6)
27,ID,NAC(5),NAC(4)
28,ID,NAC(3),NAC(2)
29,ID,NAC(1),NAC(0)
30,ID,DUID(3),DUID(2)
31,ID,DUID(1),DUID(0)
32,ID,BCH_parity(47),BCH_parity(46)
33,ID,BCH_parity(45),BCH_parity(44)
34,ID,BCH_parity(43),BCH_parity(42)
35,Status 1,SS(1),SS(0)
36,Status 1,BCH_parity(41),BCH_parity(40)
37,Status 1,BCH_parity(39),BCH_parity(38)
38,Status 1,BCH_parity(37),BCH_parity(36)
39,Status 1,BCH_parity(35),BCH_parity(34)
40,Status 1,BCH_parity(33),BCH_parity(32)
41,Status 1,BCH_parity(31),BCH_parity(30)
42,Status 1,BCH_parity(29),BCH_parity(28)
43,Status 1,BCH_parity(27),BCH_parity(26)
44,Status 1,BCH_parity(25),BCH_parity(24)
45,Status 1,BCH_parity(23),BCH_parity(22)
46,Status 1,BCH_parity(21),BCH_parity(20)
47,Status 1,BCH_parity(19),BCH_parity(18)
48,Status 1,BCH_parity(17),BCH_parity(16)
49,Status 1,BCH_parity(15),BCH_parity(14)
50,Status 1,BCH_parity(13),BCH_parity(12)
51,Status 1,BCH_parity(11),BCH_parity(10)
52,Status 1,BCH_parity(9),BCH_parity(8)
53,Status 1,BCH_parity(7),BCH_parity(6)
54,Status 1,BCH_parity(5),BCH_parity(4)
55,Status 1,BCH_parity(3),BCH_parity(2)
56,Status 1,BCH_parity(1),BCH_parity(0)
57,IMBE 1,c_0(22),c_1(21)
58,IMBE 1,c_2(20),c_3(19)
59,IMBE 1,c_4(10),c_5(1)
60,IMBE 1,c_1(20),c_0(21)
61,IMBE 1,c_3(18),c_2(19)
62,IMBE 1,c_5(0),c_4(9)
63,IMBE 1,c_0(20),c_1(19)
64,IMBE 1,c_2(18),c_3(17)
65,IMBE 1,c_4(8),c_6(14)
66,IMBE 1,c_1(18),c_0(19)
67,IMBE 1,c_3(16),c_2(17)
68,IMBE 1,c_6(13),c_4(7)
69,IMBE 1,c_0(18),c_1(17)
70,IMBE 1,c_2(16),c_3(15)
71,Status 2,SS(1),SS(0)
72,Status 2,c_4(6),c_6(12)
73,Status 2,c_1(16),c_0(17)
74,Status 2,c_3(14),c_2(15)
75,Status 2,c_6(11),c_4(5)
76,Status 2,c_0(16),c_1(15)
77,Status 2,c_2(14),c_3(13)
78,Status 2,c_4(4),c_6(10)
79,Status 2,c_1(14),c_0(15)
80,Status 2,c_3(12),c_2(13)
81,Status 2,c_6(9),c_4(3)
82,Status 2,c_0(14),c_1(13)
83,Status 2,c_2(12),c_3(11)
84,Status 2,c_4(2),c_6(8)
85,Status 2,c_1(12),c_0(13)
86,Status 2,c_3(10),c_2(11)
87,Status 2,c_6(7),c_4(1)
88,Status 2,c_0(12),c_1(11)
89,Status 2,c_2(10),c_3(9)
90,Status 2,c_4(0),c_6(6)
91,Status 2,c_1(10),c_0(11)
92,Status 2,c_3(8),c_2(9)
93,Status 2,c_6(5),c_5(14)
94,Status 2,c_0(10),c_1(9)
95,Status 2,c_2(8),c_3(7)
96,Status 2,c_5(13),c_6(4)
97,Status 2,c_1(8),c_0(9)
98,Status 2,c_3(6),c_2(7)
99,Status 2,c_6(3),c_5(12)
100,Status 2,c_0(8),c_1(7)
101,Status 2,c_2(6),c_3(5)
102,Status 2,c_5(11),c_6(2)
103,Status 2,c_1(6),c_0(7)
104,Status 2,c_3(4),c_2(5)
105,Status 2,c_6(1),c_5(10)
106,Status 2,c_0(6),c_1(5)
107,Status 3,SS(1),SS(0)
108,Status 3,c_2(4),c_3(3)
109,Status 3,c_5(9),c_6(0)
110,Status 3,c_1(4),c_0(5)
111,Status 3,c_3(2),c_2(3)
112,Status 3,c_7(6),c_5(8)
113,Status 3,c_0(4),c_1(3)
114,Status 3,c_2(2),c_3(1)
115,Status 3,c_5(7),c_7(5)
116,Status 3,c_1(2),c_0(3)
117,Status 3,c_3(0),c_2(1)
118,Status 3,c_7(4),c_5(6)
119,Status 3,c_0(2),c_1(1)
120,Status 3,c_2(0),c_4(14)
121,Status 3,c_5(5),c_7(3)
122,Status 3,c_1(0),c_0(1)
123,Status 3,c_4(13),c_3(22)
124,Status 3,c_7(2),c_5(4)
125,Status 3,c_0(0),c_2(22)
126,Status 3,c_3(21),c_4(12)
127,Status 3,c_5(3),c_7(1)
128,Status 3,c_2(21),c_1(22)
129,Status 3,c_4(11),c_3(20)
130,END of 1,c_7(0),c_5(2)
131,IMBE 2,c_0(22),c_1(21)
132,IMBE 2,c_2(20),c_3(19)
133,IMBE 2,c_4(10),c_5(1)
134,IMBE 2,c_1(20),c_0(21)
135,IMBE 2,c_3(18),c_2(19)
136,IMBE 2,c_5(0),c_4(9)
137,IMBE 2,c_0(20),c_1(19)
138,IMBE 2,c_2(18),c_3(17)
139,IMBE 2,c_4(8),c_6(14)
140,IMBE 2,c_1(18),c_0(19)
141,IMBE 2,c_3(16),c_2(17)
142,IMBE 2,c_6(13),c_4(7)
143,Status 4,SS(1),SS(0)
144,Status 4,c_0(18),c_1(17)
145,Status 4,c_2(16),c_3(15)
146,Status 4,c_4(6),c_6(12)
147,Status 4,c_1(16),c_0(17)
148,Status 4,c_3(14),c_2(15)
149,Status 4,c_6(11),c_4(5)
150,Status 4,c_0(16),c_1(15)
151,Status 4,c_2(14),c_3(13)
152,Status 4,c_4(4),c_6(10)
153,Status 4,c_1(14),c_0(15)
154,Status 4,c_3(12),c_2(13)
155,Status 4,c_6(9),c_4(3)
156,Status 4,c_0(14),c_1(13)
157,Status 4,c_2(12),c_3(11)
158,Status 4,c_4(2),c_6(8)
159,Status 4,c_1(12),c_0(13)
160,Status 4,c_3(10),c_2(11)
161,Status 4,c_6(7),c_4(1)
162,Status 4,c_0(12),c_1(11)
163,Status 4,c_2(10),c_3(9)
164,Status 4,c_4(0),c_6(6)
165,Status 4,c_1(10),c_0(11)
166,Status 4,c_3(8),c_2(9)
167,Status 4,c_6(5),c_5(14)
168,Status 4,c_0(10),c_1(9)
169,Status 4,c_2(8),c_3(7)
170,Status 4,c_5(13),c_6(4)
