# TIA-102.BAAA-B gf64_lookup_tables.csv -- GF(2^6) EXP and LOG Tables
# Source: Programmatically generated from primitive polynomial x^6 + x + 1
#   (TIA-102.BAAA-B Section 6.3, Table 6; primitive poly given at page 20)
# Verification: EXP[LOG[b]] == b for all b in 1..63: PASS
#               LOG[EXP[i]] == i for all i in 0..62: PASS
# Note: EXP[63] == EXP[0] == 1 (field order is 63)
#       LOG[0] == 0xFF (undefined; 0 has no discrete logarithm)
index,exp_value_hex,log_value_dec
0,0x01,255
1,0x02,0
2,0x04,1
3,0x08,6
4,0x10,2
5,0x20,12
6,0x03,7
7,0x06,26
8,0x0c,3
9,0x18,32
10,0x30,13
11,0x23,35
12,0x05,8
13,0x0a,48
14,0x14,27
15,0x28,18
16,0x13,4
17,0x26,24
18,0x0f,33
19,0x1e,16
20,0x3c,14
21,0x3b,52
22,0x35,36
23,0x29,54
24,0x11,9
25,0x22,45
26,0x07,49
27,0x0e,38
28,0x1c,28
29,0x38,41
30,0x33,19
31,0x25,56
32,0x09,5
33,0x12,62
34,0x24,25
35,0x0b,11
36,0x16,34
37,0x2c,31
38,0x1b,17
39,0x36,47
40,0x2f,15
41,0x1d,23
42,0x3a,53
43,0x37,51
44,0x2d,37
45,0x19,44
46,0x32,55
47,0x27,40
48,0x0d,10
49,0x1a,61
50,0x34,46
51,0x2b,30
52,0x15,50
53,0x2a,22
54,0x17,39
55,0x2e,43
56,0x1f,29
57,0x3e,60
58,0x3f,42
59,0x3d,21
60,0x39,20
61,0x31,59
62,0x21,57
63,0x01,58
