# TIA-102.BABA-A annex_b_analysis_window.csv — Initial Pitch Estimation Window wI(n)
# Source: TIA-102.BABA-A PDF, pages 79-80 (Annex B)
# Extracted from pdftotext -layout output with verification: count=301 values n=-150..150; symmetry check PASSED
n,wI_n
-150,0.00270174
-149,0.00295485
-148,0.00321783
-147,0.00349080
-146,0.00377385
-145,0.00406710
-144,0.00437064
-143,0.00468457
-142,0.00500898
-141,0.00534396
-140,0.00568957
-139,0.00604590
-138,0.00641300
-137,0.00679095
-136,0.00717979
-135,0.00757957
-134,0.00799034
-133,0.00841213
-132,0.00884496
-131,0.00928887
-130,0.00974387
-129,0.01020996
-128,0.01068715
-127,0.01117544
-126,0.01167480
-125,0.01218523
-124,0.01270669
-123,0.01323915
-122,0.01378257
-121,0.01433691
-120,0.01490209
-119,0.01547807
-118,0.01606477
-117,0.01666211
-116,0.01727001
-115,0.01788837
-114,0.01851708
-113,0.01915605
-112,0.01980516
-111,0.02046427
-110,0.02113326
-109,0.02181198
-108,0.02250030
-107,0.02319806
-106,0.02390508
-105,0.02462121
-104,0.02534627
-103,0.02608007
-102,0.02682242
-101,0.02757312
-100,0.02833197
-99,0.02909874
-98,0.02987323
-97,0.03065520
-96,0.03144442
-95,0.03224064
-94,0.03304362
-93,0.03385311
-92,0.03466884
-91,0.03549055
-90,0.03631796
-89,0.03715079
-88,0.03798876
-87,0.03883158
-86,0.03967895
-85,0.04053057
-84,0.04138613
-83,0.04224531
-82,0.04310781
-81,0.04397329
-80,0.04484143
-79,0.04571191
-78,0.04658437
-77,0.04745849
-76,0.04833392
-75,0.04921031
-74,0.05008731
-73,0.05096456
-72,0.05184172
-71,0.05271841
-70,0.05359428
-69,0.05446896
-68,0.05534208
-67,0.05621328
-66,0.05708218
-65,0.05794841
-64,0.05881159
-63,0.05967135
-62,0.06052732
-61,0.06137912
-60,0.06222637
-59,0.06306869
-58,0.06390572
-57,0.06473706
-56,0.06556235
-55,0.06638121
-54,0.06719326
-53,0.06799814
-52,0.06879548
-51,0.06958490
-50,0.07036603
-49,0.07113852
-48,0.07190201
-47,0.07265612
-46,0.07340051
-45,0.07413482
-44,0.07485870
-43,0.07557182
-42,0.07627382
-41,0.07696436
-40,0.07764313
-39,0.07830978
-38,0.07896400
-37,0.07960546
-36,0.08023385
-35,0.08084887
-34,0.08145022
-33,0.08203759
-32,0.08261070
-31,0.08316926
-30,0.08371301
-29,0.08424166
-28,0.08475496
-27,0.08525265
-26,0.08573449
-25,0.08620022
-24,0.08664962
-23,0.08708246
-22,0.08749853
-21,0.08789761
-20,0.08827951
-19,0.08864402
-18,0.08899098
-17,0.08932019
-16,0.08963150
-15,0.08992474
-14,0.09019977
-13,0.09045644
-12,0.09069464
-11,0.09091422
-10,0.09111509
-9,0.09129714
-8,0.09146028
-7,0.09160442
-6,0.09172950
-5,0.09183544
-4,0.09192219
-3,0.09198971
-2,0.09203796
-1,0.09206692
0,0.09207658
1,0.09206692
2,0.09203796
3,0.09198971
4,0.09192219
5,0.09183544
6,0.09172950
7,0.09160442
8,0.09146028
9,0.09129714
10,0.09111509
11,0.09091422
12,0.09069464
13,0.09045644
14,0.09019977
15,0.08992474
16,0.08963150
17,0.08932019
18,0.08899098
19,0.08864402
20,0.08827951
21,0.08789761
22,0.08749853
23,0.08708246
24,0.08664962
25,0.08620022
26,0.08573449
27,0.08525265
28,0.08475496
29,0.08424166
30,0.08371301
31,0.08316926
32,0.08261070
33,0.08203759
34,0.08145022
35,0.08084887
36,0.08023385
37,0.07960546
38,0.07896400
39,0.07830978
40,0.07764313
41,0.07696436
42,0.07627382
43,0.07557182
44,0.07485870
45,0.07413482
46,0.07340051
47,0.07265612
48,0.07190201
49,0.07113852
50,0.07036603
51,0.06958490
52,0.06879548
53,0.06799814
54,0.06719326
55,0.06638121
56,0.06556235
57,0.06473706
58,0.06390572
59,0.06306869
60,0.06222637
61,0.06137912
62,0.06052732
63,0.05967135
64,0.05881159
65,0.05794841
66,0.05708218
67,0.05621328
68,0.05534208
69,0.05446896
70,0.05359428
71,0.05271841
72,0.05184172
73,0.05096456
74,0.05008731
75,0.04921031
76,0.04833392
77,0.04745849
78,0.04658437
79,0.04571191
80,0.04484143
81,0.04397329
82,0.04310781
83,0.04224531
84,0.04138613
85,0.04053057
86,0.03967895
87,0.03883158
88,0.03798876
89,0.03715079
90,0.03631796
91,0.03549055
92,0.03466884
93,0.03385311
94,0.03304362
95,0.03224064
96,0.03144442
97,0.03065520
98,0.02987323
99,0.02909874
100,0.02833197
101,0.02757312
102,0.02682242
103,0.02608007
104,0.02534627
105,0.02462121
106,0.02390508
107,0.02319806
108,0.02250030
109,0.02181198
110,0.02113326
111,0.02046427
112,0.01980516
113,0.01915605
114,0.01851708
115,0.01788837
116,0.01727001
117,0.01666211
118,0.01606477
119,0.01547807
120,0.01490209
121,0.01433691
122,0.01378257
123,0.01323915
124,0.01270669
125,0.01218523
126,0.01167480
127,0.01117544
128,0.01068715
129,0.01020996
130,0.00974387
131,0.00928887
132,0.00884496
133,0.00841213
134,0.00799034
135,0.00757957
136,0.00717979
137,0.00679095
138,0.00641300
139,0.00604590
140,0.00568957
141,0.00534396
142,0.00500898
143,0.00468457
144,0.00437064
145,0.00406710
146,0.00377385
147,0.00349080
148,0.00321783
149,0.00295485
150,0.00270174
