# TIA-102.BABA-A annex_c_pitch_refinement_window.csv — Pitch Refinement Window wR(n)
# Source: TIA-102.BABA-A PDF, pages 81-82 (Annex C)
# Extracted from pdftotext -layout output with verification:
#   count=221 values n=-110..110 (PASS); symmetric wR(n)=wR(-n) (PASS);
#   peak wR(0)=1.0 (PASS)
# Used in §3 pitch refinement (Eq. 29) and §11.2.1 γ_w decoder-init
# constant (BABA-A Eq. 121).
n,wR_n
-110,0.014873
-109,0.017397
-108,0.020102
-107,0.022995
-106,0.026081
-105,0.029365
-104,0.032852
-103,0.036546
-102,0.040451
-101,0.044573
-100,0.048915
-99,0.053482
-98,0.058277
-97,0.063303
-96,0.068563
-95,0.074062
-94,0.079801
-93,0.085782
-92,0.092009
-91,0.098483
-90,0.105205
-89,0.112176
-88,0.119398
-87,0.126872
-86,0.134596
-85,0.142572
-84,0.150799
-83,0.159276
-82,0.168001
-81,0.176974
-80,0.186192
-79,0.195653
-78,0.205355
-77,0.215294
-76,0.225466
-75,0.235869
-74,0.246497
-73,0.257347
-72,0.268413
-71,0.279689
-70,0.291171
-69,0.302851
-68,0.314724
-67,0.326782
-66,0.339018
-65,0.351425
-64,0.363994
-63,0.376718
-62,0.389588
-61,0.402594
-60,0.415727
-59,0.428978
-58,0.442337
-57,0.455793
-56,0.469336
-55,0.482956
-54,0.496640
-53,0.510379
-52,0.524160
-51,0.537971
-50,0.551802
-49,0.565639
-48,0.579470
-47,0.593284
-46,0.607067
-45,0.620807
-44,0.634490
-43,0.648105
-42,0.661638
-41,0.675076
-40,0.688407
-39,0.701616
-38,0.714692
-37,0.727621
-36,0.740390
-35,0.752986
-34,0.765397
-33,0.777610
-32,0.789612
-31,0.801391
-30,0.812935
-29,0.824231
-28,0.835267
-27,0.846033
-26,0.856516
-25,0.866705
-24,0.876589
-23,0.886157
-22,0.895400
-21,0.904307
-20,0.912868
-19,0.921074
-18,0.928917
-17,0.936386
-16,0.943474
-15,0.950174
-14,0.956477
-13,0.962377
-12,0.967867
-11,0.972940
-10,0.977592
-9,0.981817
-8,0.985610
-7,0.988967
-6,0.991884
-5,0.994358
-4,0.996386
-3,0.997966
-2,0.999096
-1,0.999774
0,1.000000
1,0.999774
2,0.999096
3,0.997966
4,0.996386
5,0.994358
6,0.991884
7,0.988967
8,0.985610
9,0.981817
10,0.977592
11,0.972940
12,0.967867
13,0.962377
14,0.956477
15,0.950174
16,0.943474
17,0.936386
18,0.928917
19,0.921074
20,0.912868
21,0.904307
22,0.895400
23,0.886157
24,0.876589
25,0.866705
26,0.856516
27,0.846033
28,0.835267
29,0.824231
30,0.812935
31,0.801391
32,0.789612
33,0.777610
34,0.765397
35,0.752986
36,0.740390
37,0.727621
38,0.714692
39,0.701616
40,0.688407
41,0.675076
42,0.661638
43,0.648105
44,0.634490
45,0.620807
46,0.607067
47,0.593284
48,0.579470
49,0.565639
50,0.551802
51,0.537971
52,0.524160
53,0.510379
54,0.496640
55,0.482956
56,0.469336
57,0.455793
58,0.442337
59,0.428978
60,0.415727
61,0.402594
62,0.389588
63,0.376718
64,0.363994
65,0.351425
66,0.339018
67,0.326782
68,0.314724
69,0.302851
70,0.291171
71,0.279689
72,0.268413
73,0.257347
74,0.246497
75,0.235869
76,0.225466
77,0.215294
78,0.205355
79,0.195653
80,0.186192
81,0.176974
82,0.168001
83,0.159276
84,0.150799
85,0.142572
86,0.134596
87,0.126872
88,0.119398
89,0.112176
90,0.105205
91,0.098483
92,0.092009
93,0.085782
94,0.079801
95,0.074062
96,0.068563
97,0.063303
98,0.058277
99,0.053482
100,0.048915
101,0.044573
102,0.040451
103,0.036546
104,0.032852
105,0.029365
106,0.026081
107,0.022995
108,0.020102
109,0.017397
110,0.014873
