# TIA-102.BABA-A annex_e_gain_quantizer.csv — Gain Quantizer Levels (full-rate)
# Source: BABA-A PDF, page 84
# Extracted from pdftotext -layout output with verification: 64 entries, range [-2.842205, 8.695827]
b2_index,level
0,-2.842205
1,-2.694235
2,-2.558260
3,-2.382850
4,-2.221042
5,-2.095574
6,-1.980845
7,-1.836058
8,-1.645556
9,-1.417658
10,-1.261301
11,-1.125631
12,-0.958207
13,-0.781591
14,-0.555837
15,-0.346976
16,-0.147249
17,0.027755
18,0.211495
19,0.388380
20,0.552873
21,0.737223
22,0.932197
23,1.139032
24,1.320955
25,1.483433
26,1.648297
27,1.801447
28,1.942731
29,2.118613
30,2.321486
31,2.504443
32,2.653909
33,2.780654
34,2.925355
35,3.076390
36,3.220825
37,3.402869
38,3.585096
39,3.784606
40,3.955521
41,4.155636
42,4.314009
43,4.444150
44,4.577542
45,4.735552
46,4.909493
47,5.085264
48,5.254767
49,5.411894
50,5.568094
51,5.738523
52,5.919215
53,6.087701
54,6.280685
55,6.464201
56,6.647736
57,6.834672
58,7.022583
59,7.211777
60,7.471016
61,7.738948
62,8.124863
63,8.695827
