# TIA-102.BABA-A annex_f_gain_allocation.csv — Bit Allocation and Step Size for Transformed Gain (full-rate)
# Source: BABA-A PDF, pages 85-88
# Extracted from pdftotext -layout output with verification: 5 entries per L for all 48 L values (9..56), 240 rows total
L,m,B_m,Delta_m
9,3,10,0.003100
9,4,9,0.004020
9,5,9,0.003360
9,6,9,0.002900
9,7,9,0.002640
10,3,9,0.006200
10,4,9,0.004020
10,5,8,0.006720
10,6,8,0.005800
10,7,8,0.005280
11,3,8,0.012400
11,4,8,0.008040
11,5,8,0.006720
11,6,7,0.011600
11,7,7,0.010560
12,3,8,0.012400
12,4,7,0.016080
12,5,7,0.013440
12,6,7,0.011600
12,7,7,0.010560
13,3,7,0.024800
13,4,7,0.016080
13,5,7,0.013440
13,6,6,0.021750
13,7,6,0.019800
14,3,7,0.024800
14,4,6,0.030150
14,5,6,0.025200
14,6,6,0.021750
14,7,6,0.019800
15,3,7,0.024800
15,4,6,0.030150
15,5,6,0.025200
15,6,6,0.021750
15,7,5,0.036960
16,3,6,0.046500
16,4,6,0.030150
16,5,6,0.025200
16,6,5,0.040600
16,7,5,0.036960
17,3,6,0.046500
17,4,6,0.030150
17,5,5,0.047040
17,6,5,0.040600
17,7,5,0.036960
18,3,6,0.046500
18,4,5,0.056280
18,5,5,0.047040
18,6,5,0.040600
18,7,5,0.036960
19,3,6,0.046500
19,4,5,0.056280
19,5,5,0.047040
19,6,4,0.058000
19,7,4,0.052800
20,3,6,0.046500
20,4,5,0.056280
20,5,5,0.047040
20,6,4,0.058000
20,7,4,0.052800
21,3,5,0.086800
21,4,5,0.056280
21,5,5,0.047040
21,6,4,0.058000
21,7,4,0.052800
22,3,5,0.086800
22,4,5,0.056280
22,5,4,0.067200
22,6,4,0.058000
22,7,4,0.052800
23,3,5,0.086800
23,4,4,0.080400
23,5,4,0.067200
23,6,4,0.058000
23,7,4,0.052800
24,3,5,0.086800
24,4,4,0.080400
24,5,4,0.067200
24,6,4,0.058000
24,7,4,0.052800
25,3,5,0.086800
25,4,4,0.080400
25,5,4,0.067200
25,6,4,0.058000
25,7,3,0.085800
26,3,5,0.086800
26,4,4,0.080400
26,5,4,0.067200
26,6,3,0.094250
26,7,3,0.085800
27,3,5,0.086800
27,4,4,0.080400
27,5,4,0.067200
27,6,3,0.094250
27,7,3,0.085800
28,3,4,0.124000
28,4,4,0.080400
28,5,4,0.067200
28,6,3,0.094250
28,7,3,0.085800
29,3,4,0.124000
29,4,4,0.080400
29,5,4,0.067200
29,6,3,0.094250
29,7,3,0.085800
30,3,4,0.124000
30,4,4,0.080400
30,5,4,0.067200
30,6,3,0.094250
30,7,3,0.085800
31,3,4,0.124000
31,4,4,0.080400
31,5,3,0.109200
31,6,3,0.094250
31,7,3,0.085800
32,3,4,0.124000
32,4,4,0.080400
32,5,3,0.109200
32,6,3,0.094250
32,7,3,0.085800
33,3,4,0.124000
33,4,3,0.130650
33,5,3,0.109200
33,6,3,0.094250
33,7,3,0.085800
34,3,4,0.124000
34,4,3,0.130650
34,5,3,0.109200
34,6,3,0.094250
34,7,3,0.085800
35,3,4,0.124000
35,4,3,0.130650
35,5,3,0.109200
35,6,3,0.094250
35,7,3,0.085800
36,3,4,0.124000
36,4,3,0.130650
36,5,3,0.109200
36,6,3,0.094250
36,7,3,0.085800
37,3,4,0.124000
37,4,3,0.130650
37,5,3,0.109200
37,6,3,0.094250
37,7,2,0.112200
38,3,4,0.124000
38,4,3,0.130650
38,5,3,0.109200
38,6,3,0.094250
38,7,2,0.112200
39,3,4,0.124000
39,4,3,0.130650
39,5,3,0.109200
39,6,3,0.094250
39,7,2,0.112200
40,3,4,0.124000
40,4,3,0.130650
40,5,3,0.109200
40,6,3,0.094250
40,7,2,0.112200
41,3,4,0.124000
41,4,3,0.130650
41,5,3,0.109200
41,6,2,0.123250
41,7,2,0.112200
42,3,4,0.124000
42,4,3,0.130650
42,5,3,0.109200
42,6,2,0.123250
42,7,2,0.112200
43,3,4,0.124000
43,4,3,0.130650
43,5,3,0.109200
43,6,2,0.123250
43,7,2,0.112200
44,3,4,0.124000
44,4,3,0.130650
44,5,3,0.109200
44,6,2,0.123250
44,7,2,0.112200
45,3,4,0.124000
45,4,3,0.130650
45,5,3,0.109200
45,6,2,0.123250
45,7,2,0.112200
46,3,3,0.201500
46,4,3,0.130650
46,5,3,0.109200
46,6,2,0.123250
46,7,2,0.112200
47,3,3,0.201500
47,4,3,0.130650
47,5,3,0.109200
47,6,2,0.123250
47,7,2,0.112200
48,3,3,0.201500
48,4,3,0.130650
48,5,3,0.109200
48,6,2,0.123250
48,7,2,0.112200
49,3,3,0.201500
49,4,3,0.130650
49,5,3,0.109200
49,6,2,0.123250
49,7,2,0.112200
50,3,3,0.201500
50,4,3,0.130650
50,5,3,0.109200
50,6,2,0.123250
50,7,2,0.112200
51,3,3,0.201500
51,4,3,0.130650
51,5,3,0.109200
51,6,2,0.123250
51,7,2,0.112200
52,3,3,0.201500
52,4,3,0.130650
52,5,2,0.142800
52,6,2,0.123250
52,7,2,0.112200
53,3,3,0.201500
53,4,3,0.130650
53,5,2,0.142800
53,6,2,0.123250
53,7,2,0.112200
54,3,3,0.201500
54,4,3,0.130650
54,5,2,0.142800
54,6,2,0.123250
54,7,2,0.112200
55,3,3,0.201500
55,4,3,0.130650
55,5,2,0.142800
55,6,2,0.123250
55,7,2,0.112200
56,3,3,0.201500
56,4,3,0.130650
56,5,2,0.142800
56,6,2,0.123250
56,7,2,0.112200
