# TIA-102.BABA-A annex_g_hoc_allocation.csv — Bit Allocation for Higher Order DCT Coefficients (full-rate)
# Source: BABA-A PDF, pages 89-101
# Extracted from pdftotext -layout output with verification: Entry count = L-6 per L (3 at L=9 up to 50 at L=56); b_m contiguous from 8
L,C_i,C_k,b_m,B_m
9,4,2,8,9
9,5,2,9,8
9,6,2,10,7
10,3,2,8,9
10,4,2,9,7
10,5,2,10,6
10,6,2,11,5
11,2,2,8,9
11,3,2,9,7
11,4,2,10,6
11,5,2,11,5
11,6,2,12,4
12,1,2,8,8
12,2,2,9,7
12,3,2,10,6
12,4,2,11,5
12,5,2,12,4
12,6,2,13,3
13,1,2,8,7
13,2,2,9,7
13,3,2,10,6
13,4,2,11,5
13,5,2,12,4
13,6,2,13,3
13,6,3,14,3
14,1,2,8,7
14,2,2,9,7
14,3,2,10,5
14,4,2,11,4
14,5,2,12,4
14,5,3,13,3
14,6,2,14,4
14,6,3,15,3
15,1,2,8,6
15,2,2,9,7
15,3,2,10,5
15,4,2,11,4
15,4,3,12,4
15,5,2,13,3
15,5,3,14,3
15,6,2,15,3
15,6,3,16,3
16,1,2,8,6
16,2,2,9,6
16,3,2,10,5
16,3,3,11,4
16,4,2,12,4
16,4,3,13,3
16,5,2,14,3
16,5,3,15,3
16,6,2,16,3
16,6,3,17,2
17,1,2,8,5
17,2,2,9,5
17,2,3,10,5
17,3,2,11,4
17,3,3,12,4
17,4,2,13,4
17,4,3,14,3
17,5,2,15,3
17,5,3,16,2
17,6,2,17,3
17,6,3,18,2
18,1,2,8,5
18,1,3,9,4
18,2,2,10,5
18,2,3,11,5
18,3,2,12,4
18,3,3,13,3
18,4,2,14,3
18,4,3,15,3
18,5,2,16,3
18,5,3,17,2
18,6,2,18,2
18,6,3,19,2
19,1,2,8,5
19,1,3,9,4
19,2,2,10,5
19,2,3,11,4
19,3,2,12,4
19,3,3,13,3
19,4,2,14,3
19,4,3,15,3
19,5,2,16,3
19,5,3,17,2
19,6,2,18,3
19,6,3,19,2
19,6,4,20,1
20,1,2,8,5
20,1,3,9,4
20,2,2,10,5
20,2,3,11,4
20,3,2,12,4
20,3,3,13,3
20,4,2,14,3
20,4,3,15,2
20,5,2,16,3
20,5,3,17,2
20,5,4,18,1
20,6,2,19,3
20,6,3,20,2
20,6,4,21,1
21,1,2,8,4
21,1,3,9,4
21,2,2,10,5
21,2,3,11,4
21,3,2,12,4
21,3,3,13,3
21,4,2,14,3
21,4,3,15,2
21,4,4,16,2
21,5,2,17,3
21,5,3,18,2
21,5,4,19,1
21,6,2,20,3
21,6,3,21,2
21,6,4,22,1
22,1,2,8,4
22,1,3,9,4
22,2,2,10,4
22,2,3,11,4
22,3,2,12,4
22,3,3,13,3
22,3,4,14,2
22,4,2,15,3
22,4,3,16,2
22,4,4,17,2
22,5,2,18,3
22,5,3,19,2
22,5,4,20,1
22,6,2,21,2
22,6,3,22,2
22,6,4,23,1
23,1,2,8,4
23,1,3,9,3
23,2,2,10,4
23,2,3,11,4
23,2,4,12,3
23,3,2,13,4
23,3,3,14,3
23,3,4,15,2
23,4,2,16,3
23,4,3,17,2
23,4,4,18,2
23,5,2,19,2
23,5,3,20,2
23,5,4,21,1
23,6,2,22,2
23,6,3,23,2
23,6,4,24,1
24,1,2,8,4
24,1,3,9,3
24,1,4,10,3
24,2,2,11,4
24,2,3,12,3
24,2,4,13,3
24,3,2,14,3
24,3,3,15,3
24,3,4,16,2
24,4,2,17,3
24,4,3,18,2
24,4,4,19,1
24,5,2,20,2
24,5,3,21,2
24,5,4,22,1
24,6,2,23,2
24,6,3,24,2
24,6,4,25,1
25,1,2,8,4
25,1,3,9,3
25,1,4,10,3
25,2,2,11,4
25,2,3,12,3
25,2,4,13,3
25,3,2,14,3
25,3,3,15,3
25,3,4,16,2
25,4,2,17,3
25,4,3,18,2
25,4,4,19,1
25,5,2,20,2
25,5,3,21,2
25,5,4,22,1
25,6,2,23,2
25,6,3,24,1
25,6,4,25,1
25,6,5,26,1
26,1,2,8,4
26,1,3,9,3
26,1,4,10,3
26,2,2,11,4
26,2,3,12,3
26,2,4,13,3
26,3,2,14,3
26,3,3,15,2
26,3,4,16,2
26,4,2,17,3
26,4,3,18,2
26,4,4,19,1
26,5,2,20,2
26,5,3,21,2
26,5,4,22,1
26,5,5,23,1
26,6,2,24,2
26,6,3,25,2
26,6,4,26,1
26,6,5,27,1
27,1,2,8,4
27,1,3,9,3
27,1,4,10,2
27,2,2,11,4
27,2,3,12,3
27,2,4,13,2
27,3,2,14,3
27,3,3,15,2
27,3,4,16,2
27,4,2,17,3
27,4,3,18,2
27,4,4,19,2
27,4,5,20,1
27,5,2,21,2
27,5,3,22,2
27,5,4,23,1
27,5,5,24,1
27,6,2,25,2
27,6,3,26,2
27,6,4,27,1
27,6,5,28,1
28,1,2,8,4
28,1,3,9,3
28,1,4,10,2
28,2,2,11,4
28,2,3,12,3
28,2,4,13,2
28,3,2,14,3
28,3,3,15,2
28,3,4,16,2
28,3,5,17,2
28,4,2,18,3
28,4,3,19,2
28,4,4,20,1
28,4,5,21,1
28,5,2,22,2
28,5,3,23,2
28,5,4,24,1
28,5,5,25,1
28,6,2,26,2
28,6,3,27,1
28,6,4,28,1
28,6,5,29,1
29,1,2,8,3
29,1,3,9,3
29,1,4,10,2
29,2,2,11,4
29,2,3,12,3
29,2,4,13,2
29,2,5,14,2
29,3,2,15,3
29,3,3,16,2
29,3,4,17,2
29,3,5,18,2
29,4,2,19,3
29,4,3,20,2
29,4,4,21,1
29,4,5,22,1
29,5,2,23,2
29,5,3,24,1
29,5,4,25,1
29,5,5,26,1
29,6,2,27,2
29,6,3,28,1
29,6,4,29,1
29,6,5,30,1
30,1,2,8,3
30,1,3,9,3
30,1,4,10,2
30,1,5,11,2
30,2,2,12,3
30,2,3,13,3
30,2,4,14,2
30,2,5,15,2
30,3,2,16,3
30,3,3,17,2
30,3,4,18,2
30,3,5,19,1
30,4,2,20,3
30,4,3,21,2
30,4,4,22,1
30,4,5,23,1
30,5,2,24,2
30,5,3,25,1
30,5,4,26,1
30,5,5,27,1
30,6,2,28,2
30,6,3,29,1
30,6,4,30,1
30,6,5,31,1
31,1,2,8,3
31,1,3,9,3
31,1,4,10,2
31,1,5,11,2
31,2,2,12,3
31,2,3,13,3
31,2,4,14,2
31,2,5,15,2
31,3,2,16,3
31,3,3,17,2
31,3,4,18,2
31,3,5,19,1
31,4,2,20,2
31,4,3,21,2
31,4,4,22,1
31,4,5,23,1
31,5,2,24,2
31,5,3,25,1
31,5,4,26,1
31,5,5,27,1
31,6,2,28,2
31,6,3,29,1
31,6,4,30,1
31,6,5,31,1
31,6,6,32,1
32,1,2,8,3
32,1,3,9,3
32,1,4,10,2
32,1,5,11,2
32,2,2,12,3
32,2,3,13,3
32,2,4,14,2
32,2,5,15,2
32,3,2,16,3
32,3,3,17,2
32,3,4,18,2
32,3,5,19,1
32,4,2,20,2
32,4,3,21,2
32,4,4,22,1
32,4,5,23,1
32,5,2,24,2
32,5,3,25,1
32,5,4,26,1
32,5,5,27,1
32,5,6,28,1
32,6,2,29,2
32,6,3,30,1
32,6,4,31,1
32,6,5,32,1
32,6,6,33,0
