# TIA-102.BABA-A annex_h_interleave.csv — Bit Frame Format / Full-Rate Interleaving
# Source: BABA-A PDF, page 102
# Extracted from pdftotext -layout output with verification: All 144 bit positions (c0..c7) covered exactly once; OCR fix applied at symbol 51 (c9(5) -> c0(5))
# Bit-index convention: indices are LSB-first within each codeword vector.
#   bit_index 0 = LSB; bit_index (vector_size - 1) = MSB.
#   For c_0..c_3 (23-bit Golay) max index = 22; for c_4..c_6 (15-bit Hamming) max = 14; for c_7 (7-bit raw) max = 6.
# MSB-first implementations use: flat = offset[v] + (size[v] - 1 - bit_index).
# Cross-validated against MMDVMHost IMBE_INTERLEAVE[144]; see analysis/p25_imbe_frame_extraction_audit.md.
symbol,bit1_vector,bit1_index,bit0_vector,bit0_index
0,0,22,1,21
1,2,20,3,19
2,4,10,5,1
3,1,20,0,21
4,3,18,2,19
5,5,0,4,9
6,0,20,1,19
7,2,18,3,17
8,4,8,6,14
9,1,18,0,19
10,3,16,2,17
11,6,13,4,7
12,0,18,1,17
13,2,16,3,15
14,4,6,6,12
15,1,16,0,17
16,3,14,2,15
17,6,11,4,5
18,0,16,1,15
19,2,14,3,13
20,4,4,6,10
21,1,14,0,15
22,3,12,2,13
23,6,9,4,3
24,0,14,1,13
25,2,12,3,11
26,4,2,6,8
27,1,12,0,13
28,3,10,2,11
29,6,7,4,1
30,0,12,1,11
31,2,10,3,9
32,4,0,6,6
33,1,10,0,11
34,3,8,2,9
35,6,5,5,14
36,0,10,1,9
37,2,8,3,7
38,5,13,6,4
39,1,8,0,9
40,3,6,2,7
41,6,3,5,12
42,0,8,1,7
43,2,6,3,5
44,5,11,6,2
45,1,6,0,7
46,3,4,2,5
47,6,1,5,10
48,0,6,1,5
49,2,4,3,3
50,5,9,6,0
51,1,4,0,5
52,3,2,2,3
53,7,6,5,8
54,0,4,1,3
55,2,2,3,1
56,5,7,7,5
57,1,2,0,3
58,3,0,2,1
59,7,4,5,6
60,0,2,1,1
61,2,0,4,14
62,5,5,7,3
63,1,0,0,1
64,4,13,3,22
65,7,2,5,4
66,0,0,2,22
67,3,21,4,12
68,5,3,7,1
69,2,21,1,22
70,4,11,3,20
71,7,0,5,2
