# TIA-102.BABA-A annex_i_synthesis_window.csv — Speech Synthesis Window wS(n)
# Source: TIA-102.BABA-A PDF, pages 103-104 (Annex I)
# Extracted from pdftotext -layout output with verification: count=211 (PASS); n=-105..105
n,wS_n
-105,0.00
-104,0.02
-103,0.04
-102,0.06
-101,0.08
-100,0.10
-99,0.12
-98,0.14
-97,0.16
-96,0.18
-95,0.20
-94,0.22
-93,0.24
-92,0.26
-91,0.28
-90,0.30
-89,0.32
-88,0.34
-87,0.36
-86,0.38
-85,0.40
-84,0.42
-83,0.44
-82,0.46
-81,0.48
-80,0.50
-79,0.52
-78,0.54
-77,0.56
-76,0.58
-75,0.60
-74,0.62
-73,0.64
-72,0.66
-71,0.68
-70,0.70
-69,0.72
-68,0.74
-67,0.76
-66,0.78
-65,0.80
-64,0.82
-63,0.84
-62,0.86
-61,0.88
-60,0.90
-59,0.92
-58,0.94
-57,0.96
-56,0.98
-55,1.00
-54,1.00
-53,1.00
-52,1.00
-51,1.00
-50,1.00
-49,1.00
-48,1.00
-47,1.00
-46,1.00
-45,1.00
-44,1.00
-43,1.00
-42,1.00
-41,1.00
-40,1.00
-39,1.00
-38,1.00
-37,1.00
-36,1.00
-35,1.00
-34,1.00
-33,1.00
-32,1.00
-31,1.00
-30,1.00
-29,1.00
-28,1.00
-27,1.00
-26,1.00
-25,1.00
-24,1.00
-23,1.00
-22,1.00
-21,1.00
-20,1.00
-19,1.00
-18,1.00
-17,1.00
-16,1.00
-15,1.00
-14,1.00
-13,1.00
-12,1.00
-11,1.00
-10,1.00
-9,1.00
-8,1.00
-7,1.00
-6,1.00
-5,1.00
-4,1.00
-3,1.00
-2,1.00
-1,1.00
0,1.00
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,1.00
12,1.00
13,1.00
14,1.00
15,1.00
16,1.00
17,1.00
18,1.00
19,1.00
20,1.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,1.00
28,1.00
29,1.00
30,1.00
31,1.00
32,1.00
33,1.00
34,1.00
35,1.00
36,1.00
37,1.00
38,1.00
39,1.00
40,1.00
41,1.00
42,1.00
43,1.00
44,1.00
45,1.00
46,1.00
47,1.00
48,1.00
49,1.00
50,1.00
51,1.00
52,1.00
53,1.00
54,1.00
55,1.00
56,0.98
57,0.96
58,0.94
59,0.92
60,0.90
61,0.88
62,0.86
63,0.84
64,0.82
65,0.80
66,0.78
67,0.76
68,0.74
69,0.72
70,0.70
71,0.68
72,0.66
73,0.64
74,0.62
75,0.60
76,0.58
77,0.56
78,0.54
79,0.52
80,0.50
81,0.48
82,0.46
83,0.44
84,0.42
85,0.40
86,0.38
87,0.36
88,0.34
89,0.32
90,0.30
91,0.28
92,0.26
93,0.24
94,0.22
95,0.20
96,0.18
97,0.16
98,0.14
99,0.12
100,0.10
101,0.08
102,0.06
103,0.04
104,0.02
105,0.00
