# TIA-102.BABA-A annex_j_block_lengths.csv — Log Magnitude Prediction Residual Block Lengths (full-rate)
# Source: BABA-A PDF, page 105
# Extracted from pdftotext -layout output with verification: Each row's J1..J6 sums exactly to L
L,J1,J2,J3,J4,J5,J6
9,1,1,1,2,2,2
10,1,1,2,2,2,2
11,1,2,2,2,2,2
12,2,2,2,2,2,2
13,2,2,2,2,2,3
14,2,2,2,2,3,3
15,2,2,2,3,3,3
16,2,2,3,3,3,3
17,2,3,3,3,3,3
18,3,3,3,3,3,3
19,3,3,3,3,3,4
20,3,3,3,3,4,4
21,3,3,3,4,4,4
22,3,3,4,4,4,4
23,3,4,4,4,4,4
24,4,4,4,4,4,4
25,4,4,4,4,4,5
26,4,4,4,4,5,5
27,4,4,4,5,5,5
28,4,4,5,5,5,5
29,4,5,5,5,5,5
30,5,5,5,5,5,5
31,5,5,5,5,5,6
32,5,5,5,5,6,6
33,5,5,5,6,6,6
34,5,5,6,6,6,6
35,5,6,6,6,6,6
36,6,6,6,6,6,6
37,6,6,6,6,6,7
38,6,6,6,6,7,7
39,6,6,6,7,7,7
40,6,6,7,7,7,7
41,6,7,7,7,7,7
42,7,7,7,7,7,7
43,7,7,7,7,7,8
44,7,7,7,7,8,8
45,7,7,7,8,8,8
46,7,7,8,8,8,8
47,7,8,8,8,8,8
48,8,8,8,8,8,8
49,8,8,8,8,8,9
50,8,8,8,8,9,9
51,8,8,8,9,9,9
52,8,8,9,9,9,9
53,8,9,9,9,9,9
54,9,9,9,9,9,9
55,9,9,9,9,9,10
56,9,9,9,9,10,10
