# TIA-102.BABA-A annex_l_pitch_table.csv — Half-Rate Fundamental Frequency Quantization Table
# Source: TIA-102.BABA-A PDF, page 127 (Annex L)
# Extracted from pdftotext -layout output with verification: count=120 (PASS); omega_0 monotone decreasing: PASS
#
# UNITS: The omega_0 column is stored as CYCLES/SAMPLE (= f_0/f_s = normalized frequency),
# NOT radians/sample — despite the PDF's unlabeled "ω₀" column header. Confirmed via
# BABA-A §13.1 (page 58), which states the voice pitch range is 2π/123.125 ≤ ω̂₀ ≤ 2π/19.875
# rad/sample ≈ [0.051, 0.316] rad/sample. The entries here span [0.008125, 0.049971],
# which matches that range only after multiplication by 2π (giving [0.051, 0.314] rad/sample).
# Equivalently, 1/omega_0 is the pitch period in samples: 1/0.049971 ≈ 20.01 samples/period
# → ≈400 Hz at fs=8 kHz (max voice); 1/0.008125 ≈ 123.08 → ≈65 Hz (min voice).
#
# Consumers that feed this column into formulas expecting rad/sample (Eq. 131–141,
# Eq. 147, Eq. 206, etc.) MUST multiply by 2π on load. See analysis/
# vocoder_decode_disambiguations.md §13 for the full rationale and the
# cross-rate-converter regression that surfaced this.
b0,L,omega_0
0,9,0.049971
1,9,0.049215
2,9,0.048471
3,9,0.047739
4,9,0.047010
5,9,0.046299
6,10,0.045601
7,10,0.044905
8,10,0.044226
9,10,0.043558
10,10,0.042900
11,10,0.042246
12,11,0.041609
13,11,0.040979
14,11,0.040356
15,11,0.039747
16,11,0.039148
17,11,0.038559
18,12,0.037971
19,12,0.037399
20,12,0.036839
21,12,0.036278
22,12,0.035732
23,13,0.035198
24,13,0.034672
25,13,0.034145
26,13,0.033636
27,13,0.033133
28,14,0.032635
29,14,0.032148
30,14,0.031670
31,14,0.031122
32,15,0.030647
33,15,0.030184
34,15,0.029728
35,15,0.029272
36,16,0.028831
37,16,0.028395
38,16,0.027966
39,16,0.027538
40,17,0.027122
41,17,0.026712
42,17,0.026304
43,17,0.025906
44,18,0.025515
45,18,0.025129
46,18,0.024746
47,18,0.024372
48,19,0.024002
49,19,0.023636
50,19,0.023279
51,20,0.022926
52,20,0.022581
53,20,0.022236
54,21,0.021900
55,21,0.021570
56,21,0.021240
57,22,0.020920
58,22,0.020605
59,22,0.020294
60,23,0.019983
61,23,0.019684
62,23,0.019386
63,24,0.019094
64,24,0.018805
65,24,0.018520
66,25,0.018242
67,25,0.017965
68,26,0.017696
69,26,0.017431
70,26,0.017170
71,27,0.016911
72,27,0.016657
73,28,0.016409
74,28,0.016163
75,29,0.015923
76,29,0.015686
77,30,0.015411
78,30,0.015177
79,30,0.014946
80,31,0.014721
81,31,0.014496
82,32,0.014277
83,32,0.014061
84,33,0.013847
85,33,0.013636
86,34,0.013430
87,34,0.013227
88,35,0.013025
89,36,0.012829
90,36,0.012634
91,37,0.012444
92,37,0.012253
93,38,0.012068
94,38,0.011887
95,39,0.011703
96,40,0.011528
97,40,0.011353
98,41,0.011183
99,42,0.011011
100,42,0.010845
101,43,0.010681
102,43,0.010517
103,44,0.010359
104,45,0.010202
105,46,0.010050
106,46,0.009895
107,47,0.009747
108,48,0.009600
109,48,0.009453
110,49,0.009312
111,50,0.009172
112,51,0.009033
113,52,0.008896
114,52,0.008762
115,53,0.008633
116,54,0.008501
117,55,0.008375
118,56,0.008249
119,56,0.008125
