# TIA-102.BABA-A annex_m_vuv_codebook.csv — Half-Rate V/UV Quantization Vectors
# Source: TIA-102.BABA-A PDF, page 128 (Annex M)
# Extracted from pdftotext -layout output with verification: count=32 (PASS); bits all 0/1: PASS
b1,v0,v1,v2,v3,v4,v5,v6,v7
0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,0
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,0,0
5,1,1,0,1,1,1,1,1
6,1,1,1,0,1,1,1,1
7,1,1,1,1,1,0,1,1
8,1,1,1,1,0,0,0,0
9,1,1,1,1,1,0,0,0
10,1,1,1,0,0,0,0,0
11,1,1,1,0,0,0,0,1
12,1,1,0,0,0,0,0,0
13,1,1,1,0,0,0,0,0
14,1,0,0,0,0,0,0,0
15,1,1,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
