# TIA-102.BABA-A annex_n_block_lengths.csv — Half-Rate Log Magnitude Prediction Residual Block Lengths
# Source: TIA-102.BABA-A PDF, page 129 (Annex N)
# Extracted from pdftotext -layout output with verification: count=48 (PASS); J1+J2+J3+J4=L check: PASS
L,J1,J2,J3,J4
9,2,2,2,3
10,2,2,3,3
11,2,3,3,3
12,2,3,3,4
13,3,3,3,4
14,3,3,4,4
15,3,3,4,5
16,3,4,4,5
17,3,4,5,5
18,4,4,5,5
19,4,4,5,6
20,4,4,6,6
21,4,5,6,6
22,4,5,6,7
23,5,5,6,7
24,5,5,7,7
25,5,6,7,7
26,5,6,7,8
27,5,6,8,8
28,6,6,8,8
29,6,6,8,9
30,6,7,8,9
31,6,7,9,9
32,6,7,9,10
33,7,7,9,10
34,7,8,9,10
35,7,8,10,10
36,7,8,10,11
37,8,8,10,11
38,8,9,10,11
39,8,9,11,11
40,8,9,11,12
41,8,9,11,13
42,8,9,12,13
43,8,10,12,13
44,9,10,12,13
45,9,10,12,14
46,9,10,13,14
47,9,11,13,14
48,10,11,13,14
49,10,11,13,15
50,10,11,14,15
51,10,12,14,15
52,10,12,14,16
53,11,12,14,16
54,11,12,15,16
55,11,12,15,17
56,11,13,15,17
