# TIA-102.BABA-A annex_o_gain_quantizer.csv — Half-Rate Gain Quantizer Levels
# Source: TIA-102.BABA-A PDF, page 130 (Annex O)
# Extracted from pdftotext -layout output with verification: count=32 (PASS); monotone increasing: PASS
b2,gain_level
0,-2.000000
1,-0.670000
2,0.297941
3,0.663728
4,1.036829
5,1.438136
6,1.890077
7,2.227970
8,2.478289
9,2.667544
10,2.793619
11,2.893261
12,3.020630
13,3.138586
14,3.237579
15,3.322570
16,3.432367
17,3.571863
18,3.696650
19,3.814917
20,3.920932
21,4.022503
22,4.123569
23,4.228291
24,4.370569
25,4.543700
26,4.707695
27,4.848879
28,5.056757
29,5.326468
30,5.777581
31,6.874496
