# TIA-102.BABA-A annex_p_prba24_codebook.csv — Half-Rate PRBA24 Vector Quantizer Levels
# Source: TIA-102.BABA-A PDF, pages 131-136 (Annex P)
# Extracted from pdftotext -layout output with verification: count=512 (PASS)
b3,G2,G3,G4
0,0.526055,-0.328567,-0.304727
1,0.441044,-0.303127,-0.201114
2,1.030896,-0.324730,-0.397204
3,0.839696,-0.351933,-0.224909
4,0.272958,-0.176118,-0.098893
5,0.221466,-0.160045,-0.061026
6,0.496555,-0.211499,0.047305
7,0.424376,-0.223752,0.069911
8,0.264531,-0.353355,-0.330505
9,0.273650,-0.253004,-0.250241
10,0.484531,-0.297627,-0.071051
11,0.410814,-0.224961,-0.084998
12,0.039519,-0.252904,-0.115128
13,0.017423,-0.296519,-0.045921
14,0.225113,-0.224371,0.037882
15,0.183424,-0.260492,0.050491
16,0.308704,-0.073205,-0.405880
17,0.213125,-0.101632,-0.333208
18,0.617735,-0.137299,-0.213670
19,0.514382,-0.126485,-0.170204
20,0.130009,-0.076955,-0.229303
21,0.061740,-0.108259,-0.203887
22,0.244473,-0.110094,-0.051689
23,0.230452,-0.076147,-0.028190
24,0.059837,-0.254595,-0.562704
25,0.011630,-0.135223,-0.432791
26,0.207077,-0.152248,-0.148391
27,0.158078,-0.128800,-0.122150
28,-0.265982,-0.144742,-0.199894
29,-0.356479,-0.204740,-0.156465
30,0.000324,-0.139549,-0.066471
31,0.001888,-0.170557,-0.025025
32,0.402913,-0.581478,-0.274626
33,0.191289,-0.540335,-0.193040
34,0.632914,-0.401410,-0.006636
35,0.471086,-0.463144,0.061489
36,0.044829,-0.438487,0.033433
37,0.015513,-0.539475,-0.006719
38,0.336218,-0.351311,0.214087
39,0.239967,-0.380836,0.157681
40,0.347609,-0.901619,-0.688432
41,0.064067,-0.826753,-0.492089
42,0.303089,-0.396757,-0.108446
43,0.235590,-0.446122,0.006437
44,-0.236964,-0.652532,-0.135520
45,-0.418285,-0.793014,-0.034730
46,-0.038262,-0.516984,0.273681
47,-0.037419,-0.958198,0.214749
48,0.061624,-0.238233,-0.237184
49,-0.013944,-0.235704,-0.204811
50,0.286428,-0.210542,-0.029587
51,0.257656,-0.261837,-0.056566
52,-0.235852,-0.310760,-0.165147
53,-0.334949,-0.385870,-0.197362
54,0.094870,-0.241144,0.059122
55,0.060177,-0.225884,0.031140
56,-0.301184,-0.306545,-0.446189
57,-0.293528,-0.504146,-0.429844
58,-0.055084,-0.379015,-0.125887
