# TIA-102.BABA-A annex_t_tone_params.csv — Tone Frame Parameters
# Source: TIA-102.BABA-A PDF, page 144 (Annex T)
# Reserved ranges NOT included as rows: IDs 0-4, 123-127, 164-254
#   IDs 0-4: reserved (N/A)
#   IDs 5-12: f0 = 31.250 * ID Hz, l1=l2=1
#   IDs 13-25: f0 = 15.625 * ID Hz, l1=l2=2
#   IDs 26-38: f0 = 10.417 * ID Hz, l1=l2=3
#   IDs 39-51: f0 = 7.8125 * ID Hz, l1=l2=4
#   IDs 52-64: f0 = 6.2500 * ID Hz, l1=l2=5
#   IDs 65-76: f0 = 5.2803 * ID Hz, l1=l2=6
#   IDs 77-89: f0 = 4.4643 * ID Hz, l1=l2=7
#   IDs 90-102: f0 = 3.9063 * ID Hz, l1=l2=8
#   IDs 103-115: f0 = 3.4722 * ID Hz, l1=l2=9
#   IDs 116-122: f0 = 3.1250 * ID Hz, l1=l2=10
#   IDs 123-127: reserved (N/A)
#   IDs 128-143: DTMF tones (explicit values)
#   IDs 144-163: KNOX tones (explicit values)
#   IDs 164-254: reserved (N/A)
#   ID 255: silence (f0=250, l1=l2=0)
# Extracted from pdftotext -layout output with verification: count=155 non-reserved entries (single-freq: 118, DTMF: 16, KNOX: 20, silence: 1)
tone_id,f0_hz,l1,l2
5,156.2500,1,1
6,187.5000,1,1
7,218.7500,1,1
8,250.0000,1,1
9,281.2500,1,1
10,312.5000,1,1
11,343.7500,1,1
12,375.0000,1,1
13,203.1250,2,2
14,218.7500,2,2
15,234.3750,2,2
16,250.0000,2,2
17,265.6250,2,2
18,281.2500,2,2
19,296.8750,2,2
20,312.5000,2,2
21,328.1250,2,2
22,343.7500,2,2
23,359.3750,2,2
24,375.0000,2,2
25,390.6250,2,2
26,270.8420,3,3
27,281.2590,3,3
28,291.6760,3,3
29,302.0930,3,3
30,312.5100,3,3
31,322.9270,3,3
32,333.3440,3,3
33,343.7610,3,3
34,354.1780,3,3
35,364.5950,3,3
36,375.0120,3,3
37,385.4290,3,3
38,395.8460,3,3
39,304.6875,4,4
40,312.5000,4,4
41,320.3125,4,4
42,328.1250,4,4
43,335.9375,4,4
44,343.7500,4,4
45,351.5625,4,4
46,359.3750,4,4
47,367.1875,4,4
48,375.0000,4,4
49,382.8125,4,4
50,390.6250,4,4
51,398.4375,4,4
52,325.0000,5,5
53,331.2500,5,5
54,337.5000,5,5
55,343.7500,5,5
56,350.0000,5,5
57,356.2500,5,5
58,362.5000,5,5
59,368.7500,5,5
60,375.0000,5,5
61,381.2500,5,5
62,387.5000,5,5
63,393.7500,5,5
64,400.0000,5,5
65,343.2195,6,6
66,348.4998,6,6
67,353.7801,6,6
68,359.0604,6,6
69,364.3407,6,6
70,369.6210,6,6
71,374.9013,6,6
72,380.1816,6,6
73,385.4619,6,6
74,390.7422,6,6
75,396.0225,6,6
76,401.3028,6,6
77,343.7511,7,7
78,348.2154,7,7
79,352.6797,7,7
80,357.1440,7,7
81,361.6083,7,7
82,366.0726,7,7
83,370.5369,7,7
84,375.0012,7,7
85,379.4655,7,7
86,383.9298,7,7
87,388.3941,7,7
88,392.8584,7,7
89,397.3227,7,7
90,351.5670,8,8
91,355.4733,8,8
92,359.3796,8,8
93,363.2859,8,8
94,367.1922,8,8
95,371.0985,8,8
96,375.0048,8,8
97,378.9111,8,8
98,382.8174,8,8
99,386.7237,8,8
100,390.6300,8,8
101,394.5363,8,8
102,398.4426,8,8
103,357.6366,9,9
104,361.1088,9,9
105,364.5810,9,9
106,368.0532,9,9
107,371.5254,9,9
108,374.9976,9,9
109,378.4698,9,9
110,381.9420,9,9
111,385.4142,9,9
112,388.8864,9,9
113,392.3586,9,9
114,395.8308,9,9
115,399.3030,9,9
116,362.5000,10,10
117,365.6250,10,10
118,368.7500,10,10
119,371.8750,10,10
120,375.0000,10,10
121,378.1250,10,10
122,381.2500,10,10
128,78.5000,12,17
129,173.4800,4,7
130,70.0000,10,19
131,87.0000,8,17
132,109.9500,7,11
133,191.6800,4,7
134,70.1700,11,21
135,71.0600,12,17
136,121.5800,7,11
137,212.0000,4,7
138,116.4100,6,14
139,96.1500,8,17
140,71.0000,12,23
141,234.2600,4,7
142,134.3800,7,9
143,134.3500,7,11
144,68.3300,12,17
145,150.8900,4,7
146,67.8200,9,17
147,86.5000,7,15
148,95.7900,7,11
149,166.9200,4,7
150,67.7000,10,19
151,74.7400,10,14
152,105.9000,7,11
153,92.7800,8,14
154,101.5500,6,14
155,84.0200,8,17
156,67.8300,11,21
157,102.3000,8,14
158,117.0000,7,9
159,117.4900,7,11
160,87.7800,4,5
161,70.8300,6,7
162,122.0000,4,5
163,70.0000,5,7
255,250.0000,0,0
