# TIA-102.BABA-A imbe_bit_prioritization.csv — Full-Rate Bit Prioritization Map (L-dependent scan)
# Source: BABA-A PDF, pages 33–35 (Section 7.1), combined with Annex F (B_m for b̂₃..b̂₇)
#         and Annex G (B_m for b̂₈..b̂_{L+1}). Figure 22 scan algorithm expanded to explicit
#         (src_param, src_bit) → (dst_vec, dst_bit) mapping for every L in [9, 56].
# Invariants verified for every L:
#   - Bit budget 8 + K + 6 + (73-K) + 1 = 88 (PASS)
#   - src coverage: every allocated (b̂_l, bit) appears exactly once (PASS)
#   - dst coverage: û_0..û_7 bits 0..(width-1) each appear exactly once (PASS)
# Parameter widths: b̂₀=8 (pitch), b̂₁=K (V/UV, see Eq. 48), b̂₂=6 (gain),
#                    b̂_l for l=3..7 from Annex F, b̂_l for l=8..L+1 from Annex G,
#                    b̂_{L+2} has 1 transmitted bit (LSB only, always in û₇[0]).
# Total rows = 48 L values × 88 info bits = 4224.
L,src_param,src_bit,dst_vec,dst_bit
9,0,7,0,11
9,0,6,0,10
9,0,5,0,9
9,0,4,0,8
9,0,3,0,7
9,0,2,0,6
9,2,5,0,5
9,2,4,0,4
9,2,3,0,3
9,3,9,0,2
9,3,8,0,1
9,4,8,0,0
9,5,8,1,11
9,6,8,1,10
9,7,8,1,9
9,8,8,1,8
9,3,7,1,7
9,4,7,1,6
9,5,7,1,5
9,6,7,1,4
9,7,7,1,3
9,8,7,1,2
9,9,7,1,1
9,3,6,1,0
9,4,6,2,11
9,5,6,2,10
9,6,6,2,9
9,7,6,2,8
9,8,6,2,7
9,9,6,2,6
9,10,6,2,5
9,3,5,2,4
9,4,5,2,3
9,5,5,2,2
9,6,5,2,1
9,7,5,2,0
9,8,5,3,11
9,9,5,3,10
9,10,5,3,9
9,3,4,3,8
9,4,4,3,7
9,5,4,3,6
9,6,4,3,5
9,7,4,3,4
9,8,4,3,3
9,9,4,3,2
9,10,4,3,1
9,3,3,3,0
9,1,2,4,10
9,1,1,4,9
9,1,0,4,8
9,2,2,4,7
9,2,1,4,6
9,4,3,4,5
9,5,3,4,4
9,6,3,4,3
9,7,3,4,2
9,8,3,4,1
9,9,3,4,0
9,10,3,5,10
9,3,2,5,9
9,4,2,5,8
9,5,2,5,7
9,6,2,5,6
9,7,2,5,5
9,8,2,5,4
9,9,2,5,3
9,10,2,5,2
9,3,1,5,1
9,4,1,5,0
9,5,1,6,10
9,6,1,6,9
9,7,1,6,8
9,8,1,6,7
9,9,1,6,6
9,10,1,6,5
9,3,0,6,4
9,4,0,6,3
9,5,0,6,2
9,6,0,6,1
9,7,0,6,0
9,8,0,7,6
9,9,0,7,5
9,10,0,7,4
9,2,0,7,3
9,0,1,7,2
9,0,0,7,1
9,11,0,7,0
10,0,7,0,11
10,0,6,0,10
10,0,5,0,9
10,0,4,0,8
10,0,3,0,7
10,0,2,0,6
10,2,5,0,5
10,2,4,0,4
10,2,3,0,3
10,3,8,0,2
10,4,8,0,1
10,8,8,0,0
10,3,7,1,11
10,4,7,1,10
10,5,7,1,9
10,6,7,1,8
10,7,7,1,7
10,8,7,1,6
10,3,6,1,5
10,4,6,1,4
10,5,6,1,3
10,6,6,1,2
10,7,6,1,1
10,8,6,1,0
10,9,6,2,11
10,3,5,2,10
10,4,5,2,9
10,5,5,2,8
10,6,5,2,7
10,7,5,2,6
10,8,5,2,5
10,9,5,2,4
10,10,5,2,3
10,3,4,2,2
10,4,4,2,1
10,5,4,2,0
10,6,4,3,11
10,7,4,3,10
10,8,4,3,9
10,9,4,3,8
10,10,4,3,7
10,11,4,3,6
10,3,3,3,5
10,4,3,3,4
10,5,3,3,3
10,6,3,3,2
10,7,3,3,1
10,8,3,3,0
10,1,3,4,10
10,1,2,4,9
10,1,1,4,8
10,1,0,4,7
10,2,2,4,6
10,2,1,4,5
10,9,3,4,4
10,10,3,4,3
10,11,3,4,2
10,3,2,4,1
10,4,2,4,0
10,5,2,5,10
10,6,2,5,9
10,7,2,5,8
10,8,2,5,7
10,9,2,5,6
10,10,2,5,5
10,11,2,5,4
10,3,1,5,3
10,4,1,5,2
10,5,1,5,1
10,6,1,5,0
10,7,1,6,10
10,8,1,6,9
10,9,1,6,8
10,10,1,6,7
10,11,1,6,6
10,3,0,6,5
10,4,0,6,4
10,5,0,6,3
10,6,0,6,2
10,7,0,6,1
10,8,0,6,0
10,9,0,7,6
10,10,0,7,5
10,11,0,7,4
10,2,0,7,3
10,0,1,7,2
10,0,0,7,1
10,12,0,7,0
11,0,7,0,11
11,0,6,0,10
11,0,5,0,9
11,0,4,0,8
11,0,3,0,7
11,0,2,0,6
11,2,5,0,5
11,2,4,0,4
11,2,3,0,3
11,8,8,0,2
11,3,7,0,1
11,4,7,0,0
11,5,7,1,11
11,8,7,1,10
11,3,6,1,9
11,4,6,1,8
11,5,6,1,7
11,6,6,1,6
11,7,6,1,5
11,8,6,1,4
11,9,6,1,3
11,3,5,1,2
11,4,5,1,1
11,5,5,1,0
11,6,5,2,11
11,7,5,2,10
11,8,5,2,9
11,9,5,2,8
11,10,5,2,7
11,3,4,2,6
11,4,4,2,5
11,5,4,2,4
11,6,4,2,3
11,7,4,2,2
11,8,4,2,1
11,9,4,2,0
11,10,4,3,11
11,11,4,3,10
11,3,3,3,9
11,4,3,3,8
11,5,3,3,7
11,6,3,3,6
11,7,3,3,5
11,8,3,3,4
11,9,3,3,3
11,10,3,3,2
11,11,3,3,1
11,12,3,3,0
11,1,3,4,10
11,1,2,4,9
11,1,1,4,8
11,1,0,4,7
11,2,2,4,6
11,2,1,4,5
11,3,2,4,4
11,4,2,4,3
