# TIA-102.BBAC-A annex_d1_gf64_exp_log.csv — GF(64) Exponential and Logarithm Tables
# Source: TIA-102.BBAC-A PDF, Annex D Table 28 (page 60-61)
# Extracted from pdftotext -layout output with verification:
#   EXP[63]==EXP[0]==1 (alpha^63=1); 63 distinct elements alpha^0..alpha^62;
#   LOG round-trip b=1..63 (EXP[LOG[b]]==b); alpha^6=alpha+1=0o03;
#   alpha^7=alpha^2+alpha=0o06; alpha^10=alpha^5+alpha^4.
#   Characteristic polynomial: c(x) = x^6 + x + 1.
# Note: b=0 (zero element) has no logarithm; LOG[0]=255 (undefined sentinel).
# Octal notation matches PDF table format.
e_decimal,alpha_e_octal,alpha_e_decimal,b_decimal,log_b_decimal
0,1,1,1,0
1,2,2,2,1
2,4,4,4,2
3,10,8,8,3
4,20,16,16,4
5,40,32,32,5
6,3,3,3,6
7,6,6,6,7
8,14,12,12,8
9,30,24,24,9
10,60,48,48,10
11,43,35,35,11
12,5,5,5,12
13,12,10,10,13
14,24,20,20,14
15,50,40,40,15
16,23,19,19,16
17,46,38,38,17
18,17,15,15,18
19,36,30,30,19
20,74,60,60,20
21,73,59,59,21
22,65,53,53,22
23,51,41,41,23
24,21,17,17,24
25,42,34,34,25
26,7,7,7,26
27,16,14,14,27
28,34,28,28,28
29,70,56,56,29
30,63,51,51,30
31,45,37,37,31
32,11,9,9,32
33,22,18,18,33
34,44,36,36,34
35,13,11,11,35
36,26,22,22,36
37,54,44,44,37
38,33,27,27,38
39,66,54,54,39
40,57,47,47,40
41,35,29,29,41
42,72,58,58,42
43,67,55,55,43
44,55,45,45,44
45,31,25,25,45
46,62,50,50,46
47,47,39,39,47
48,15,13,13,48
49,32,26,26,49
50,64,52,52,50
51,53,43,43,51
52,25,21,21,52
53,52,42,42,53
54,27,23,23,54
55,56,46,46,55
56,37,31,31,56
57,76,62,62,57
58,77,63,63,58
59,75,61,61,59
60,71,57,57,60
61,61,49,49,61
62,41,33,33,62
63,1,1,1,0
