# TIA-102.BBAC-A annex_d3_rs_gen_matrix.csv — RS(63,35,29) Generator Matrix G
# Source: TIA-102.BBAC-A PDF, Annex D Table 29 (pages 62-64)
# Extracted from pdftotext -layout output with verification:
#   Top-left 35x35 block = identity matrix;
#   All 35 rows verified as valid RS(63,35,29) codewords
#     (Horner evaluation at alpha^1..alpha^28 = 0, MSB-first column ordering).
# Matrix is 35 rows x 63 columns. Columns 0-34 = identity; columns 35-62 = parity.
# Values are GF(64) elements in decimal (0-63); use octal for spec notation.
row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,19,62,13,63,40,50,13,12,10,7,60,37,19,57,40,52,8,14,18,57,63,16,41,49,26,6
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,37,17,16,9,10,2,28,37,48,24,9,39,12,3,12,22,4,44,33,2,61,28,35,9,46,14
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,20,30,20,37,51,58,7,23,10,26,63,54,16,29,57,24,37,19,21,48,55,24,40,1,3,10
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,9,18,47,24,57,14,11,60,16,60,8,18,14,32,1,56,11,10,33,37,60,17,14,11,32,63
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,57,28,37,5,40,36,57,3,48,43,20,15,49,32,16,24,9,62,22,15,15,29,30,17,38,36
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,49,37,2,29,31,14,58,3,36,9,60,16,59,20,58,43,52,56,46,51,55,20,35,23,45,59
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,37,25,38,17,11,15,13,2,39,3,20,41,60,52,2,54,58,57,47,33,32,21,57,61,17,49
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,47,11,43,57,27,38,61,14,33,54,12,44,61,3,62,15,52,24,28,16,62,36,46,4,26,49
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,8,1,57,52,51,54,20,62,45,48,57,52,56,2,9,51,13,22,61,35,15,58,31,19,35,58
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,46,30,15,21,10,17,56,32,16,13,17,9,11,14,60,49,42,14,19,11,15,61,62,48,15,57
